"STATION","NAME","DATE","ACMH","ACSH","AWND","DAEV","DAWM","EVAP","FMTM","FRGT","MDEV","MDWM","MNPN","MXPN","PGTM","PRCP","PSUN","SN12","SN32","SN52","SNOW","SNWD","SX12","SX32","SX52","TAVG","TMAX","TMIN","TSUN","WDF1","WDF2","WDF5","WDFG","WDFI","WDFM","WDMV","WESD","WSF1","WSF2","WSF5","WSFG","WSFI","WSFM","WT01","WT02","WT03","WT04","WT05","WT06","WT07","WT08","WT09","WT10","WT11","WT13","WT14","WT15","WT16","WT17","WT18","WT19","WT21","WT22","WV03"
"USW00013880","CHARLESTON INTL. AIRPORT, SC US","1937-04-11",,,,,,,,,,,,,,"0.00",,,,,"0.0","0.0",,,,,"64","44",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00013880","CHARLESTON INTL. AIRPORT, SC US","1937-04-12",,,,,,,,,,,,,,"0.00",,,,,"0.0","0.0",,,,,"63","35",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00013880","CHARLESTON INTL. AIRPORT, SC US","1937-04-13",,,,,,,,,,,,,,"0.00",,,,,"0.0","0.0",,,,,"68","35",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00013880","CHARLESTON INTL. AIRPORT, SC US","1937-04-14",,,,,,,,,,,,,,"0.00",,,,,"0.0","0.0",,,,,"74","45",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00013880","CHARLESTON INTL. AIRPORT, SC US","1937-04-15",,,,,,,,,,,,,,"0.12",,,,,"0.0","0.0",,,,,"76","59",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00013880","CHARLESTON INTL. AIRPORT, SC US","1937-04-16",,,,,,,,,,,,,,"0.01",,,,,"0.0","0.0",,,,,"72","53",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00013880","CHARLESTON INTL. AIRPORT, SC US","1937-04-17",,,,,,,,,,,,,,"0.00",,,,,"0.0","0.0",,,,,"72","43",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00013880","CHARLESTON INTL. AIRPORT, SC US","1937-04-18",,,,,,,,,,,,,,"0.00",,,,,"0.0","0.0",,,,,"84","44",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00013880","CHARLESTON INTL. AIRPORT, SC US","1937-04-19",,,,,,,,,,,,,,"0.00",,,,,"0.0","0.0",,,,,"88","58",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00013880","CHARLESTON INTL. AIRPORT, SC US","1937-04-20",,,,,,,,,,,,,,"0.00",,,,,"0.0","0.0",,,,,"85","60",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00013880","CHARLESTON INTL. AIRPORT, SC US","1937-04-21",,,,,,,,,,,,,,"0.01",,,,,"0.0","0.0",,,,,"80","63",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00013880","CHARLESTON INTL. AIRPORT, SC US","1937-04-22",,,,,,,,,,,,,,"0.09",,,,,"0.0","0.0",,,,,"82","65",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00013880","CHARLESTON INTL. AIRPORT, SC US","1937-04-23",,,,,,,,,,,,,,"0.00",,,,,"0.0","0.0",,,,,"89","65",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00013880","CHARLESTON INTL. AIRPORT, SC US","1937-04-24",,,,,,,,,,,,,,"1.00",,,,,"0.0","0.0",,,,,"82","59",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00013880","CHARLESTON INTL. AIRPORT, SC US","1937-04-25",,,,,,,,,,,,,,"0.92",,,,,"0.0","0.0",,,,,"78","66",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00013880","CHARLESTON INTL. AIRPORT, SC US","1937-04-26",,,,,,,,,,,,,,"0.00",,,,,"0.0","0.0",,,,,"73","50",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00013880","CHARLESTON INTL. AIRPORT, SC US","1937-04-27",,,,,,,,,,,,,,"0.62",,,,,"0.0","0.0",,,,,"75","54",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00013880","CHARLESTON INTL. AIRPORT, SC US","1937-04-28",,,,,,,,,,,,,,"0.00",,,,,"0.0","0.0",,,,,"77","53",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00013880","CHARLESTON INTL. AIRPORT, SC US","1937-04-29",,,,,,,,,,,,,,"1.91",,,,,"0.0","0.0",,,,,"72","64",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00013880","CHARLESTON INTL. AIRPORT, SC US","1937-04-30",,,,,,,,,,,,,,"0.00",,,,,"0.0","0.0",,,,,"65","57",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00013880","CHARLESTON INTL. AIRPORT, SC US","1937-05-01",,,,,,,,,,,,,,"0.00",,,,,"0.0","0.0",,,,,"71","53",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00013880","CHARLESTON INTL. AIRPORT, SC US","1937-05-02",,,,,,,,,,,,,,"0.00",,,,,"0.0","0.0",,,,,"74","56",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00013880","CHARLESTON INTL. AIRPORT, SC US","1937-05-03",,,,,,,,,,,,,,"0.00",,,,,"0.0","0.0",,,,,"74","53",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00013880","CHARLESTON INTL. AIRPORT, SC US","1937-05-04",,,,,,,,,,,,,,"0.00",,,,,"0.0","0.0",,,,,"78","53",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00013880","CHARLESTON INTL. AIRPORT, SC US","1937-05-05",,,,,,,,,,,,,,"0.37",,,,,"0.0","0.0",,,,,"77","56",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
